Rank of 3261,Local authority,Establishment,NO₂,Type,Phase
65,Hillingdon,St John's School,25.3,Other Independent School,Not applicable
57,Hillingdon,St Helen's School,25.2,Other Independent School,Not applicable
52,Hillingdon,RNIB Sunshine House School and Children's Home,25.1,Non-Maintained Special School,Not applicable
30,Hillingdon,Harefield Junior School,24.5,Community School,Primary
29,Hillingdon,St Martin's School,24.5,Other Independent School,Not applicable
21,Hillingdon,The Harefield Academy,23.9,Academy Sponsor Led,Secondary
8,Hillingdon,Harefield Infant School,23.1,Community School,Primary
3102,Hounslow,"St Mary's Catholic Primary School ,Chiswick",49,Voluntary Aided School,Primary
3072,Hounslow,The Falcons School for Boys,48.2,Other Independent School,Not applicable
3071,Hounslow,Floreat Brentford Primary School,48.2,Free Schools,Primary
3004,Hounslow,The William Hogarth Primary School,46.7,Community School,Primary
2845,Hounslow,Kew House,44,Other Independent School,Not applicable
2716,Hounslow,Belmont Primary School,42.2,Community School,Primary
2699,Hounslow,International School of London,42,Other Independent School,Not applicable
2592,Hounslow,PPP Community School,41.1,Other Independent Special School,Not applicable
2471,Hounslow,Cavendish Primary School,40.1,Community School,Primary
2453,Hounslow,Heathfield House School,40,Other Independent School,Not applicable
2368,Hounslow,Chiswick and Bedford Park Preparatory School,39.4,Other Independent School,Not applicable
2350,Hounslow,"St Mary's Catholic Primary School, Isleworth",39.3,Voluntary Aided School,Primary
2333,Hounslow,Chiswick School,39.2,Academy Converter,Secondary
2270,Hounslow,The Green School,38.8,Academy Converter,Secondary
2255,Hounslow,"Gumley House RC Convent School, FCJ",38.7,Academy Converter,Secondary
2235,Hounslow,Arts Educational School,38.6,Other Independent School,Not applicable
2204,Hounslow,Our Lady and St John's RC Primary School,38.4,Voluntary Aided School,Primary
2186,Hounslow,Hounslow Town Primary School,38.3,Community School,Primary
2185,Hounslow,St Paul's CofE Primary School,38.3,Voluntary Aided School,Primary
2115,Hounslow,Lionel Primary School,37.9,Community School,Primary
2114,Hounslow,Green Dragon Primary School,37.9,Community School,Primary
2095,Hounslow,West Thames College,37.8,Further Education,16 Plus
2042,Hounslow,The Rosary Catholic Primary School,37.5,Voluntary Aided School,Primary
1998,Hounslow,Strand-on-the-Green Junior School,37.3,Community School,Primary
1997,Hounslow,Strand-on-the-Green Infant and Nursery School,37.3,Community School,Primary
1986,Hounslow,Grove Park Primary School,37.2,Community School,Primary
1922,Hounslow,Brentford School for Girls,36.8,Academy Converter,Secondary
1907,Hounslow,Lady Nafisa Independent Secondary School for Girls,36.7,Other Independent School,Not applicable
1890,Hounslow,Ivybridge Primary School,36.6,Community School,Primary
1837,Hounslow,Isleworth Town Primary School,36.3,Community School,Primary
1821,Hounslow,The Blue School CofE Primary,36.2,Voluntary Aided School,Primary
1820,Hounslow,Nishkam School West London,36.2,Free Schools,All Through
1795,Hounslow,Cranford Community College,36,Academy Converter,Secondary
1739,Hounslow,Oaklands School,35.7,Community Special School,Not applicable
1738,Hounslow,Lampton Academy,35.7,Academy Converter,Secondary
1712,Hounslow,The Smallberry Green Primary School,35.6,Community School,Primary
1679,Hounslow,Worple Primary School,35.4,Community School,Primary
1678,Hounslow,St Lawrence RC Primary School,35.4,Voluntary Aided School,Primary
1677,Hounslow,Gunnersbury Catholic School,35.4,Voluntary Aided School,Secondary
1676,Hounslow,Marjory Kinnon School,35.4,Community Special School,Not applicable
1675,Hounslow,St Mark's Catholic School,35.4,Academy Converter,Secondary
1634,Hounslow,Spring Grove Primary School,35.2,Community School,Primary
1633,Hounslow,The Woodbridge Park Education Service,35.2,Pupil Referral Unit,Not applicable
1617,Hounslow,St Michael and St Martin RC Primary School,35.1,Voluntary Aided School,Primary
1563,Hounslow,Ashton House School,34.8,Other Independent School,Not applicable
1562,Hounslow,Isleworth and Syon School for Boys,34.8,Academy Converter,Secondary
1546,Hounslow,Bedfont Primary School,34.7,Community School,Primary
1491,Hounslow,The Cedars Primary School,34.4,Community Special School,Not applicable
1477,Hounslow,Berkeley Primary School,34.3,Community School,Primary
1460,Hounslow,Wellington Primary School,34.2,Community School,Primary
1421,Hounslow,Oak Heights Independent School,34,Other Independent School,Not applicable
1420,Hounslow,Orchard Primary School,34,Community School,Primary
1402,Hounslow,Cardinal Road Infant and Nursery School,33.9,Community School,Primary
1380,Hounslow,Suffah Primary School,33.8,Other Independent School,Not applicable
1379,Hounslow,Reach Academy Feltham,33.8,Free Schools,All Through
1378,Hounslow,Heston Community School,33.8,Academy Converter,Secondary
1357,Hounslow,Springwell Junior School,33.7,Community School,Primary
1356,Hounslow,Kingsley Academy,33.7,Academy Sponsor Led,Secondary
1323,Hounslow,Norwood Green Infant and Nursery School,33.6,Community School,Primary
1322,Hounslow,Norwood Green Junior School,33.6,Academy Converter,Primary
1278,Hounslow,Marlborough Primary School,33.4,Community School,Primary
1252,Hounslow,Grove Road Primary School,33.3,Community School,Primary
1251,Hounslow,Heston Primary School,33.3,Community School,Primary
1250,Hounslow,Oak Hill Academy,33.3,Academy Converter,Primary
1235,Hounslow,Victoria Junior School,33.2,Community School,Primary
1234,Hounslow,Hounslow Heath Infant and Nursery School,33.2,Community School,Primary
1172,Hounslow,Westbrook Primary School,32.9,Academy Converter,Primary
1100,Hounslow,Beavers Community Primary School,32.6,Community School,Primary
1099,Hounslow,Cranford Primary,32.6,Community School,Primary
1098,Hounslow,Alexandra Primary School,32.6,Community School,Primary
1016,Hounslow,Springwell Infant and Nursery School,32.2,Community School,Primary
1015,Hounslow,Oriel Primary School,32.2,Academy Sponsor Led,Primary
991,Hounslow,Hounslow Heath Junior School,32.1,Community School,Primary
990,Hounslow,Chatsworth Primary School,32.1,Community School,Primary
896,Hounslow,Sparrow Farm Infant and Nursery School,31.6,Community School,Primary
845,Hounslow,Feltham Hill Infant and Nursery School,31.3,Community School,Primary
806,Hounslow,Rivers Academy West London,31.1,Academy Converter,Secondary
805,Hounslow,Space Studio West London,31.1,Studio Schools,Secondary
726,Hounslow,The Heathland School,30.7,Community School,Secondary
680,Hounslow,Sparrow Farm Junior School,30.5,Community School,Primary
634,Hounslow,Southville Junior School,30.3,Community School,Primary
633,Hounslow,Southville Infant and Nursery School,30.3,Community School,Primary
632,Hounslow,Feltham Community College,30.3,Academy Converter,Secondary
631,Hounslow,The Rise Free School,30.3,Free Schools Special,Not applicable
590,Hounslow,Crane Park Primary School,30.1,Community School,Primary
530,Hounslow,Fairholme Primary School,29.8,Community School,Primary
499,Hounslow,Lindon Bennett School,29.6,Community Special School,Not applicable
439,Hounslow,The St Michael Steiner School,29.3,Other Independent School,Not applicable
408,Hounslow,Edward Pauling Primary School,29.1,Community School,Primary
330,Hounslow,St Richard's Church of England Primary School,28.6,Voluntary Aided School,Primary
3237,Islington,Central Foundation Boys' School,60.60,Voluntary Aided School,Secondary
3194,Islington,St John Evangelist RC Primary School,54.7,Voluntary Aided School,Primary
3173,Islington,Italia Conti Academy of Theatre Arts,52.9,Other Independent School,Not applicable
3160,Islington,City and Islington College,51.9,Further Education,16 Plus
3156,Islington,The Gower School,51.6,Other Independent School,Not applicable
3144,Islington,New River College Primary,50.9,Pupil Referral Unit,Not applicable
3127,Islington,Hugh Myddelton Primary School,50.2,Community School,Primary
3116,Islington,Tech City College,49.7,Free Schools - 16-19,16 Plus
3109,Islington,Winton Primary School,49.4,Community School,Primary
3082,Islington,St Paul's Steiner School,48.5,Other Independent School,Not applicable
3081,Islington,The Family School London,48.5,Free Schools - Alternative Provision,Not applicable
3077,Islington,The New North Academy,48.4,Academy Converter,Primary
3063,Islington,Kate Greenaway Nursery School and Children's Centre,47.9,LA Nursery School,Nursery
3031,Islington,Canonbury Primary School,47.2,Community School,Primary
3030,Islington,Dania School,47.2,Other Independent School,Not applicable
3021,Islington,Dallington School,47,Other Independent School,Not applicable
3020,Islington,City University,47,Higher Education Institutions,Not applicable
3010,Islington,Grafton Primary School,46.8,Community School,Primary
2989,Islington,St Peter and St Paul RC Primary School,46.3,Voluntary Aided School,Primary
2980,Islington,Moreland Primary School,46.1,Community School,Primary
2966,Islington,Elizabeth Garrett Anderson School,45.8,Community School,Secondary
2964,Islington,Copenhagen Primary School,45.7,Community School,Primary
2952,Islington,Clerkenwell Parochial CofE Primary School,45.3,Voluntary Aided School,Primary
2951,Islington,St Mary Magdalene Academy: the Courtyard,45.3,Free Schools Special,Not applicable
2943,Islington,Prior Weston Primary School and Children's Centre,45.2,Community School,Primary
2932,Islington,St Luke's CofE Primary School,45.1,Voluntary Aided School,Primary
2931,Islington,St Mary's CofE Primary School,45.1,Voluntary Aided School,Primary
2922,Islington,William Tyndale Primary School,45,Academy Converter,Primary
2899,Islington,Blessed Sacrament RC Primary School,44.7,Voluntary Aided School,Primary
2886,Islington,Pakeman Primary School,44.5,Community School,Primary
2877,Islington,Laycock Primary School,44.4,Community School,Primary
2863,Islington,Montem Primary School,44.2,Community School,Primary
2840,Islington,Samuel Rhodes MLD School,43.9,Community Special School,Not applicable
2808,Islington,St Andrew's (Barnsbury) Church of England Primary School,43.5,Voluntary Aided School,Primary
2794,Islington,Vittoria Primary School,43.3,Community School,Primary
2785,Islington,St Jude and St Paul's CofE Primary School,43.2,Voluntary Aided School,Primary
2766,Islington,Gillespie Primary School,43,Community School,Primary
2741,Islington,St Joseph's RC Primary School,42.6,Voluntary Aided School,Primary
2730,Islington,Ambler Primary School and Children's Centre,42.4,Community School,Primary
2727,Islington,St Aloysius RC College,42.3,Voluntary Aided School,Secondary
2726,Islington,New River College Medical,42.3,Pupil Referral Unit,Not applicable
2713,Islington,Hanover Primary School,42.1,Community School,Primary
2712,Islington,Richard Cloudesley PH School,42.1,Community Special School,Not applicable
2671,Islington,The Bridge School,41.7,Community Special School,Not applicable
2658,Islington,Highbury Grove School,41.6,Community School,Secondary
2657,Islington,North Bridge House Senior Canonbury,41.6,Other Independent School,Not applicable
2644,Islington,The Children's House Upper School,41.5,Other Independent School,Not applicable
2632,Islington,Duncombe Primary School,41.4,Community School,Primary
2631,Islington,Hungerford Primary School and Children's Centre,41.4,Community School,Primary
2620,Islington,The Bridge Integrated Learning Space,41.3,Free Schools Special,Not applicable
2577,Islington,St John's Upper Holloway CofE Primary School,40.9,Voluntary Aided School,Primary
2576,Islington,Rotherfield Primary School,40.9,Community School,Primary
2566,Islington,City of London Academy Islington,40.8,Academy Sponsor Led,Secondary
2529,Islington,Newington Green Primary School,40.5,Community School,Primary
2512,Islington,Robert Blair Primary School,40.4,Community School,Primary
2482,Islington,Highbury Quadrant Primary School,40.2,Community School,Primary
2470,Islington,Drayton Park Primary School,40.1,Community School,Primary
2452,Islington,Hargrave Park Primary School,40,Community School,Primary
2438,Islington,Thornhill Primary School,39.9,Community School,Primary
2437,Islington,St Joan of Arc RC Primary School,39.9,Voluntary Aided School,Primary
2380,Islington,Margaret McMillan Nursery School,39.5,LA Nursery School,Nursery
2367,Islington,St Mary Magdalene Academy,39.4,Academy Sponsor Led,All Through
2316,Islington,Sacred Heart Catholic Primary School,39.1,Voluntary Aided School,Primary
2303,Islington,St Mark's CofE Primary School,39,Voluntary Aided School,Primary
2234,Islington,New River College Secondary,38.6,Pupil Referral Unit,Not applicable
2113,Islington,St John's Highbury Vale CofE Primary School,37.9,Voluntary Aided School,Primary
2059,Islington,Mount Carmel Catholic College for Girls,37.6,Voluntary Aided School,Secondary
1985,Islington,North Islington Nursery School,37.2,LA Nursery School,Nursery
1969,Islington,Yerbury Primary School,37.1,Community School,Primary
1968,Islington,Highbury Fields School,37.1,Community School,Secondary
1939,Islington,Christ The King RC Primary School,36.9,Voluntary Aided School,Primary
1889,Islington,Holloway School,36.6,Community School,Secondary
1851,Islington,Tufnell Park Primary School,36.4,Community School,Primary
1819,Islington,Arts and Media School Islington,36.2,Foundation School,Secondary
1818,Islington,Poole's Park Primary School,36.2,Community School,Primary
1794,Islington,Whitehall Park School,36,Free Schools,Primary
1756,Islington,Ashmount Primary School,35.8,Community School,Primary
3241,Kensington and Chelsea,Queen's Gate School,61.80,Other Independent School,Not applicable
3234,Kensington and Chelsea,Ashbourne Independent School,60.30,Other Independent School,Not applicable
3232,Kensington and Chelsea,Lycee Francais Charles de Gaulle,60.10,Other Independent School,Not applicable
3223,Kensington and Chelsea,Duff Miller College,58.00,Other Independent School,Not applicable
3221,Kensington and Chelsea,Snowflake School,57.30,Other Independent Special School,Not applicable
3206,Kensington and Chelsea,David Game College,55.4,Other Independent School,Not applicable
3204,Kensington and Chelsea,More House School,55.3,Other Independent School,Not applicable
3203,Kensington and Chelsea,Holland Park Pre-Preparatory School,55.3,Other Independent School,Not applicable
3201,Kensington and Chelsea,St Mary Abbots CofE Primary School,55.2,Voluntary Aided School,Primary
3196,Kensington and Chelsea,St Anne's Nursery School,54.8,LA Nursery School,Nursery
3195,Kensington and Chelsea,Latimer Ap Academy,54.8,Academy Alternative Provision Converter,Not applicable
3192,Kensington and Chelsea,Hill House School,54.5,Other Independent School,Not applicable
3185,Kensington and Chelsea,Holy Trinity CofE Primary School,53.9,Voluntary Aided School,Primary
3184,Kensington and Chelsea,Glendower Preparatory School,53.8,Other Independent School,Not applicable
3165,Kensington and Chelsea,St Cuthbert with St Matthias CofE Primary School,52.2,Voluntary Aided School,Primary
3162,Kensington and Chelsea,Ashburnham Community School,52,Community School,Primary
3161,Kensington and Chelsea,"Imperial College of Science, Technology and Medicine",52,Higher Education Institutions,Not applicable
3159,Kensington and Chelsea,Servite RC Primary School,51.8,Voluntary Aided School,Primary
3158,Kensington and Chelsea,Royal College of Art,51.8,Higher Education Institutions,Not applicable
3132,Kensington and Chelsea,Kensington and Chelsea College,50.3,Further Education,16 Plus
3131,Kensington and Chelsea,Plan B,50.3,Other Independent School,Not applicable
3126,Kensington and Chelsea,Mander Portman Woodward School,50.2,Other Independent School,Not applicable
3124,Kensington and Chelsea,Westminster Tutors,50.1,Other Independent School,Not applicable
3115,Kensington and Chelsea,Cameron House School,49.7,Other Independent School,Not applicable
3111,Kensington and Chelsea,Our Lady of Victories RC Primary School,49.5,Voluntary Aided School,Primary
3107,Kensington and Chelsea,Knightsbridge School,49.2,Other Independent School,Not applicable
3097,Kensington and Chelsea,Garden House School,48.9,Other Independent School,Not applicable
3096,Kensington and Chelsea,Institute of Cancer Research,48.9,Higher Education Institutions,Not applicable
3076,Kensington and Chelsea,Norland Place School,48.4,Other Independent School,Not applicable
3073,Kensington and Chelsea,Redcliffe School,48.3,Other Independent School,Not applicable
3062,Kensington and Chelsea,La Scuola Italiana A Londra,47.9,Other Independent School,Not applicable
3044,Kensington and Chelsea,"The Hampshire School, Chelsea",47.5,Other Independent School,Not applicable
3033,Kensington and Chelsea,Chelsea Community Hospital School,47.3,Community Special School,Not applicable
3019,Kensington and Chelsea,Notting Hill Preparatory School,47,Other Independent School,Not applicable
3013,Kensington and Chelsea,Kensington Primary Academy,46.9,Academy Sponsor Led,Primary
3009,Kensington and Chelsea,Park Walk Primary School,46.8,Community School,Primary
3008,Kensington and Chelsea,Ravenstone Preparatory School,46.8,Other Independent School,Not applicable
2994,Kensington and Chelsea,Chepstow House School,46.5,Other Independent School,Not applicable
2990,Kensington and Chelsea,Epic Learning,46.4,Other Independent School,Not applicable
2973,Kensington and Chelsea,Hawkesdown House,45.9,Other Independent School,Not applicable
2957,Kensington and Chelsea,Southbank International School,45.5,Other Independent School,Not applicable
2942,Kensington and Chelsea,Falkner House,45.2,Other Independent School,Not applicable
2930,Kensington and Chelsea,Oxford Gardens Primary School,45.1,Community School,Primary
2905,Kensington and Chelsea,Fox Primary School,44.8,Community School,Primary
2904,Kensington and Chelsea,Bassett House School,44.8,Other Independent School,Not applicable
2903,Kensington and Chelsea,St Philip's School,44.8,Other Independent School,Not applicable
2902,Kensington and Chelsea,Royal College of Music,44.8,Higher Education Institutions,Not applicable
2893,Kensington and Chelsea,Marlborough Primary School,44.6,Community School,Primary
2885,Kensington and Chelsea,Collingham,44.5,Other Independent School,Not applicable
2876,Kensington and Chelsea,St Barnabas and St Philip's CofE Primary School,44.4,Voluntary Aided School,Primary
2870,Kensington and Chelsea,Eaton House The Vale school,44.3,Other Independent School,Not applicable
2862,Kensington and Chelsea,Bousfield Primary School,44.2,Community School,Primary
2861,Kensington and Chelsea,Tabernacle School,44.2,Other Independent School,Not applicable
2852,Kensington and Chelsea,THE LLOYD WILLIAMSON SCHOOLS,44.1,Other Independent School,Not applicable
2833,Kensington and Chelsea,Maxilla Nursery School,43.8,LA Nursery School,Nursery
2824,Kensington and Chelsea,Oratory Roman Catholic Primary School,43.7,Voluntary Aided School,Primary
2821,Kensington and Chelsea,Colville Primary School,43.6,Community School,Primary
2820,Kensington and Chelsea,Saint Francis of Assisi Catholic Primary School,43.6,Voluntary Aided School,Primary
2807,Kensington and Chelsea,St Joseph RC Primary School,43.5,Voluntary Aided School,Primary
2806,Kensington and Chelsea,Saint Thomas More Language College,43.5,Voluntary Aided School,Secondary
2784,Kensington and Chelsea,St Thomas' CofE Primary School,43.2,Voluntary Aided School,Primary
2783,Kensington and Chelsea,Frederick Hugh House,43.2,Other Independent Special School,Not applicable
2782,Kensington and Chelsea,La Petite Ecole Bilingue,43.2,Other Independent School,Not applicable
2774,Kensington and Chelsea,Chelsea Open Air Nursery School and Children's Centre,43.1,LA Nursery School,Nursery
2773,Kensington and Chelsea,Thomas Jones Primary School,43.1,Community School,Primary
2772,Kensington and Chelsea,La Petite Ecole Francaise,43.1,Other Independent School,Not applicable
2757,Kensington and Chelsea,The Cardinal Vaughan Memorial RC School,42.8,Academy Converter,Secondary
2740,Kensington and Chelsea,Sussex House School,42.6,Other Independent School,Not applicable
2725,Kensington and Chelsea,The Kensington School,42.3,Other Independent School,Not applicable
2690,Kensington and Chelsea,Heythrop College,41.9,Higher Education Institutions,Not applicable
2680,Kensington and Chelsea,Seacole Primary School,41.8,Other Independent School,Not applicable
2670,Kensington and Chelsea,Golborne Children's Centre,41.7,LA Nursery School,Nursery
2669,Kensington and Chelsea,Christ Church CofE Primary School,41.7,Voluntary Aided School,Primary
2668,Kensington and Chelsea,Wetherby School,41.7,Other Independent School,Not applicable
2667,Kensington and Chelsea,Ark Brunel Primary Academy,41.7,Academy Sponsor Led,Primary
2619,Kensington and Chelsea,Saint Mary RC Primary School,41.3,Voluntary Aided School,Primary
2591,Kensington and Chelsea,Barlby Primary School,41.1,Community School,Primary
2575,Kensington and Chelsea,Kensington Aldridge Academy,40.9,Academy Sponsor Led,Secondary
2565,Kensington and Chelsea,Thomas's Kensington,40.8,Other Independent School,Not applicable
2548,Kensington and Chelsea,Pembridge Hall School,40.7,Other Independent School,Not applicable
2428,Kensington and Chelsea,Chelsea Academy,39.8,Academy Sponsor Led,Secondary
2413,Kensington and Chelsea,Bevington Primary School,39.7,Community School,Primary
2412,Kensington and Chelsea,Instituto Espanol Canada Blanch,39.7,Other Independent School,Not applicable
2401,Kensington and Chelsea,Sion-Manning RC Girls' School,39.6,Voluntary Aided School,Secondary
2302,Kensington and Chelsea,Avondale Park Primary School,39,Community School,Primary
2269,Kensington and Chelsea,St Clement and St James CofE Primary School,38.8,Voluntary Aided School,Primary
2218,Kensington and Chelsea,Holland Park School,38.5,Academy Converter,Secondary
2217,Kensington and Chelsea,Walmer Road School,38.5,Other Independent School,Not applicable
2203,Kensington and Chelsea,St Charles RC Primary School,38.4,Voluntary Aided School,Primary
2202,Kensington and Chelsea,St Charles Catholic Sixth Form College,38.4,Further Education,16 Plus
3040,Kingston upon Thames,Kingston Grammar School,47.4,Other Independent School,Not applicable
2771,Kingston upon Thames,Kingston College,43.1,Further Education,16 Plus
2756,Kingston upon Thames,Tiffin School,42.8,Academy Converter,Secondary
2332,Kingston upon Thames,Southborough High School,39.2,Academy Converter,Secondary
2283,Kingston upon Thames,Bedelsford School,38.9,Foundation Special School,Not applicable
2147,Kingston upon Thames,Tolworth Girls' School & Sixth Form,38.1,Academy Converter,Secondary
2041,Kingston upon Thames,St Joseph's Catholic Primary School,37.5,Voluntary Aided School,Primary
2040,Kingston upon Thames,Educare Small School,37.5,Other Independent School,Not applicable
1996,Kingston upon Thames,St John's C of E Primary School,37.3,Voluntary Aided School,Primary
1774,Kingston upon Thames,Coombe Boys' School,35.9,Academy Converter,Secondary
1755,Kingston upon Thames,Burlington Junior School,35.8,Community School,Primary
1754,Kingston upon Thames,Burlington Infant and Nursery School,35.8,Community School,Primary
1737,Kingston upon Thames,Park Hill School,35.7,Other Independent School,Not applicable
1698,Kingston upon Thames,Kingston University,35.5,Higher Education Institutions,Not applicable
1674,Kingston upon Thames,Surbiton High School,35.4,Other Independent School,Not applicable
1582,Kingston upon Thames,Surbiton Children's Centre Nursery,34.9,LA Nursery School,Nursery
1507,Kingston upon Thames,Fern Hill Primary School,34.5,Community School,Primary
1476,Kingston upon Thames,Dysart School,34.3,Community Special School,Not applicable
1419,Kingston upon Thames,Canbury School,34,Other Independent School,Not applicable
1355,Kingston upon Thames,St Paul's CofE Junior School,33.7,Voluntary Aided School,Primary
1321,Kingston upon Thames,The Kingston Academy,33.6,Free Schools,Secondary
1249,Kingston upon Thames,King Athelstan Primary School,33.3,Community School,Primary
1233,Kingston upon Thames,St Paul's CofE Primary School,33.2,Voluntary Aided School,Primary
1212,Kingston upon Thames,The Tiffin Girls' School,33.1,Academy Converter,Secondary
1171,Kingston upon Thames,The Hollyfield School and Sixth Form Centre,32.9,Academy Converter,Secondary
1080,Kingston upon Thames,Alexandra Infant School,32.5,Community School,Primary
1063,Kingston upon Thames,Coombe Hill Infant School,32.4,Community School,Primary
1062,Kingston upon Thames,Coombe Hill Junior School,32.4,Community School,Primary
1061,Kingston upon Thames,King's Oak Primary School,32.4,Community School,Primary
1060,Kingston upon Thames,St Matthew's CofE Primary School,32.4,Voluntary Aided School,Primary
1014,Kingston upon Thames,Malden Parochial CofE Primary School,32.2,Voluntary Aided School,Primary
1013,Kingston upon Thames,Our Lady Immaculate Catholic Primary School,32.2,Voluntary Aided School,Primary
944,Kingston upon Thames,Study School,31.9,Other Independent School,Not applicable
927,Kingston upon Thames,Malden Oaks PRU,31.8,Pupil Referral Unit,Not applicable
911,Kingston upon Thames,Lime Tree Primary School,31.7,Foundation School,Primary
883,Kingston upon Thames,The Holy Cross School,31.5,Academy Converter,Secondary
863,Kingston upon Thames,St Luke's CofE Primary School,31.4,Foundation School,Primary
862,Kingston upon Thames,Coombe Girls' School,31.4,Academy Converter,Secondary
844,Kingston upon Thames,Robin Hood Primary School,31.3,Community School,Primary
843,Kingston upon Thames,Chessington Community College,31.3,Community School,Secondary
792,Kingston upon Thames,Christ Church New Malden CofE Primary School,31,Voluntary Aided School,Primary
791,Kingston upon Thames,Kingston Community School,31,Free Schools,Primary
767,Kingston upon Thames,Westbury House School,30.9,Other Independent School,Not applicable
747,Kingston upon Thames,Hillcroft College,30.8,Miscellaneous,Not applicable
707,Kingston upon Thames,Corpus Christi Catholic Primary School,30.6,Voluntary Aided School,Primary
679,Kingston upon Thames,Ellingham Primary School,30.5,Community School,Primary
678,Kingston upon Thames,Tolworth Junior School,30.5,Community School,Primary
677,Kingston upon Thames,Tolworth Infant and Nursery School,30.5,Community School,Primary
676,Kingston upon Thames,Marymount International School,30.5,Other Independent School,Not applicable
655,Kingston upon Thames,Maple Infants' School,30.4,Community School,Primary
654,Kingston upon Thames,Lovelace Primary School,30.4,Community School,Primary
653,Kingston upon Thames,Rokeby Senior School,30.4,Other Independent School,Not applicable
652,Kingston upon Thames,St Agatha's Catholic Primary School,30.4,Academy Converter,Primary
630,Kingston upon Thames,St Andrew's and St Mark's CofE Junior School,30.3,Voluntary Aided School,Primary
629,Kingston upon Thames,Holy Cross Preparatory School,30.3,Other Independent School,Not applicable
628,Kingston upon Thames,Latchmere School,30.3,Academy Converter,Primary
576,Kingston upon Thames,Malden Manor Primary and Nursery School,30,Community School,Primary
559,Kingston upon Thames,Knollmead Primary School,29.9,Academy Sponsor Led,Primary
529,Kingston upon Thames,Grand Avenue Primary and Nursery School,29.8,Community School,Primary
517,Kingston upon Thames,Christ Church CofE Primary School,29.7,Voluntary Aided School,Primary
454,Kingston upon Thames,Richard Challoner School,29.4,Academy Converter,Secondary
386,Kingston upon Thames,Green Lane Primary and Nursery School,29,Community School,Primary
385,Kingston upon Thames,Castle Hill Primary School,29,Academy Converter,Primary
355,Kingston upon Thames,Shrewsbury House School,28.8,Other Independent School,Not applicable
292,Kingston upon Thames,St Mary's CofE (Aided) Primary School,28.3,Voluntary Aided School,Primary
291,Kingston upon Thames,St Philip's School,28.3,Community Special School,Not applicable
3259,Lambeth,DLD College London,67.80,Other Independent School,Not applicable
3246,Lambeth,King's College London,62.70,Higher Education Institutions,Not applicable
3233,Lambeth,Morley College,60.20,Further Education,16 Plus
3229,Lambeth,Oasis Academy South Bank,59.40,Free Schools,Secondary
3222,Lambeth,St Anne's Catholic Primary School,57.70,Voluntary Aided School,Primary
3189,Lambeth,King's College London Maths School,54.4,Free Schools - 16-19,16 Plus
3146,Lambeth,Oasis Academy Johanna,51,Academy Converter,Primary
3135,Lambeth,Lilian Baylis Technology School,50.4,Community School,Secondary
3134,Lambeth,Henry Fawcett Primary School,50.4,Community School,Primary
3123,Lambeth,London Nautical School,49.9,Foundation School,Secondary
3121,Lambeth,St Mark's Church of England Primary School,49.8,Voluntary Aided School,Primary
3120,Lambeth,Oleander Preparatory School,49.8,Other Independent School,Not applicable
3105,Lambeth,Octavia House Schools,49.1,Other Independent Special School,Not applicable
3101,Lambeth,The Marine Society College of the Sea,49,Further Education,16 Plus
3029,Lambeth,St John the Divine Church of England Primary School,47.2,Voluntary Aided School,Primary
3028,Lambeth,St Helen's Catholic School,47.2,Voluntary Aided School,Primary
3018,Lambeth,Ashmole Primary School,47,Community School,Primary
2979,Lambeth,Archbishop Tenison's School,46.1,Voluntary Aided School,Secondary
2972,Lambeth,Archbishop Sumner Church of England Primary School,45.9,Voluntary Aided School,Primary
2956,Lambeth,Trinity Academy,45.5,Free Schools,Secondary
2941,Lambeth,Ethelred Nursery School and Children's Centre,45.2,LA Nursery School,Nursery
2940,Lambeth,Wyvil Primary School and Centre for Children With Speech and Language Impairment,45.2,Foundation School,Primary
2929,Lambeth,Ecole Du Parc,45.1,Other Independent School,Not applicable
2915,Lambeth,Lambeth College,44.9,Further Education,16 Plus
2884,Lambeth,Corpus Christi Catholic Primary School,44.5,Academy Converter,Primary
2805,Lambeth,Reay Primary School,43.5,Foundation School,Primary
2804,Lambeth,Platanos College,43.5,Academy Converter,Secondary
2793,Lambeth,St John's Angell Town Church of England Primary School,43.3,Voluntary Aided School,Primary
2781,Lambeth,Walnut Tree Walk Primary School,43.2,Community School,Primary
2755,Lambeth,Sudbourne Primary School,42.8,Community School,Primary
2754,Lambeth,Oakfield Preparatory School,42.8,Other Independent School,Not applicable
2739,Lambeth,Stockwell Primary School,42.6,Community School,Primary
2724,Lambeth,Vauxhall Primary School,42.3,Community School,Primary
2723,Lambeth,St Jude's Church of England Primary School,42.3,Voluntary Aided School,Primary
2689,Lambeth,"Christ Church , Streatham Church of England Primary School",41.9,Voluntary Aided School,Primary
2679,Lambeth,St Stephen's Church of England Primary School,41.8,Voluntary Aided School,Primary
2656,Lambeth,Kings Avenue School,41.6,Community School,Primary
2630,Lambeth,Kennington Park Academy,41.4,Academy Alternative Provision Converter,Not applicable
2590,Lambeth,Rosemead Preparatory School,41.1,Other Independent School,Not applicable
2574,Lambeth,Lambeth Academy,40.9,Academy Sponsor Led,Secondary
2564,Lambeth,Saint Gabriel's College,40.8,Voluntary Aided School,Secondary
2547,Lambeth,Hill Mead Primary School,40.7,Community School,Primary
2536,Lambeth,Lansdowne School,40.6,Community Special School,Not applicable
2528,Lambeth,Triangle Nursery School,40.5,LA Nursery School,Nursery
